fullName;shortName;abbr;circleColor;shadeColor
Conservative and Unionist Party;Conservative;CON;#0087DC;#0087DC
Labour Party;Labour;LAB;#E4003B;#E4003B
Liberal Democrats;Liberal Democrats;LDM;#FAA61A;#FAA61A
Green parties;Green;GRN;#6AB023;#6AB023
Green Party of England and Wales;Green (E&W);GRE;#6AB023;#6AB023
Scottish Greens;Scottish Greens;SGR;#00B140;#00B140
Scottish National Party;SNP;SNP;#FDF38E;#FDF38E
Plaid Cymru;Plaid Cymru;PLC;#005B54;#005B54
Brexit Party;Brexit Party;BXP;#12B6CF;#5a8187
Reform UK Party;Reform UK;REF;#12B6CF;#5a8187
Other parties;Others;OTH;#000000;#000000
